Name,Size,Path
api-ms-win-crt-utility-l1-1-0.dll,20928,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\api-ms-win-crt-utility-l1-1-0.dll
api-ms-win-core-errorhandling-l1-1-0.dll,20936,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\api-ms-win-core-errorhandling-l1-1-0.dll
api-ms-win-core-processthreads-l1-1-0.dll,20936,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\api-ms-win-core-processthreads-l1-1-0.dll
api-ms-win-crt-filesystem-l1-1-0.dll,20928,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\api-ms-win-crt-filesystem-l1-1-0.dll
lcms.dll,254464,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\lcms.dll
awt.dll,1472512,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\awt.dll
dt_socket.dll,25600,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\dt_socket.dll
fontmanager.dll,834048,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\fontmanager.dll
freetype.dll,532480,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\freetype.dll
instrument.dll,41472,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\instrument.dll
java.dll,136192,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\java.dll
java.exe,39424,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\java.exe
javajpeg.dll,168448,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\javajpeg.dll
javaw.exe,39424,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\javaw.exe
jawt.dll,10752,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\jawt.dll
jdwp.dll,219648,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\jdwp.dll
jimage.dll,23040,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\jimage.dll
jli.dll,80896,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\jli.dll
jsound.dll,50688,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\jsound.dll
keytool.exe,13312,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\keytool.exe
mlib_image.dll,499712,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\mlib_image.dll
msvcp140.dll,565648,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\msvcp140.dll
net.dll,86528,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\net.dll
nio.dll,69632,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\nio.dll
prefs.dll,15360,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\prefs.dll
rmi.dll,10752,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\rmi.dll
rmiregistry.exe,13312,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\rmiregistry.exe
splashscreen.dll,209920,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\splashscreen.dll
ucrtbase.dll,1118664,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\ucrtbase.dll
vcruntime140.dll,97168,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\vcruntime140.dll
vcruntime140_1.dll,37240,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\vcruntime140_1.dll
verify.dll,44544,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\verify.dll
zip.dll,78848,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\zip.dll
jvm.dll,11880960,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\server\jvm.dll
